dw_cid,opp_team_id,emp_id,opp_type,opp_status,opp_timestamp,revenue
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2019-10-29T16:57:22.870Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2019-10-29T16:57:22.870Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2019-10-29T16:57:22.870Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2019-10-29T16:57:22.870Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2019-10-29T16:57:22.870Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2019-10-29T18:18:55.912Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2019-10-29T18:18:55.912Z,0.00
17062,AuxRole17062001,AuxRole17062001:34261283,New Business,Won,2020-02-18T14:28:39.531Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-01-08T15:59:54.554Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-01-09T16:29:46.054Z,0.00
17062,AuxRole17062001,AuxRole17062001:34261283,New Business,Won,2020-03-11T14:30:29.106Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-04-22T14:07:22.611Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Lost,2020-10-02T14:13:00.148Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-18T15:48:11.473Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-18T16:03:37.977Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-18T16:17:57.183Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,Existing Business,Open,2020-02-18T16:07:21.250Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-21T22:03:48.819Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-21T22:51:13.658Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-21T22:45:45.337Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,Existing Business,Won,2020-11-18T18:07:08.494Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-21T21:52:40.481Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-10-02T14:15:51.438Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-02-21T21:56:36.722Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-21T22:41:23.123Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-21T21:46:40.424Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-21T22:06:03.250Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-21T22:38:10.466Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-07-08T19:04:23.091Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-21T22:57:26.568Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-02-21T22:36:28.319Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-12-07T15:56:50.900Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Lost,2020-10-02T14:23:27.878Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,Unavailable,Open,2020-03-04T15:20:53.972Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-03-09T18:35:24.938Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,Existing Business,Open,2020-03-09T18:40:05.424Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-03-09T20:33:56.479Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-03-11T14:38:12.985Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-03-11T14:36:09.522Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-03-11T14:38:49.030Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-03-11T14:28:08.854Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-07-10T17:08:30.757Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-03-11T14:33:24.827Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-03-11T14:34:49.728Z,7000.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-03-11T14:40:20.053Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-03-11T14:35:18.251Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-03-11T14:45:32.825Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-03-11T14:43:50.893Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-03-11T14:42:07.165Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-04-30T20:40:38.845Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,Existing Business,Won,2020-04-16T14:48:49.498Z,400000.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-04-16T21:28:33.101Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-04-16T21:41:42.288Z,50000.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-04-16T21:18:49.565Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-04-16T21:47:53.275Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-04-16T21:15:23.586Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-04-16T21:37:47.542Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-04-22T14:09:17.550Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,Existing Business,Open,2018-11-14T19:06:04.466Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-12-16T20:05:03.082Z,200000.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-05-29T18:27:54.644Z,0.00
17062,AuxRole17062001,AuxRole17062001:34190147,Existing Business,Open,2020-06-03T15:33:42.004Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-08-24T19:54:59.066Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-06-24T20:07:11.579Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-06-24T20:29:33.304Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-06-24T20:22:50.637Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-06-26T16:52:46.068Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-06-26T16:36:17.003Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-06-26T16:47:42.272Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-07-08T19:02:16.973Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-07-10T15:21:11.325Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-07-10T17:21:02.198Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-07-10T22:05:29.983Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-07-10T22:14:06.794Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-08-03T20:19:04.314Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-08-03T20:49:55.790Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-08-03T20:22:20.609Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,Existing Business,Won,2020-08-03T20:20:25.749Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-08-03T20:59:07.532Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,Unavailable,Won,2020-08-03T21:17:36.471Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-08-24T19:56:28.635Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-08-24T19:52:45.270Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,Unavailable,Won,2020-08-24T19:55:52.858Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2021-02-17T15:23:26.473Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-09-24T20:09:55.454Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:41000708,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-10-22T19:47:03.013Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-10-15T19:58:48.421Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-10-16T19:46:07.660Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:41000708,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-10-02T14:15:15.076Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-10-15T20:00:36.146Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,Unavailable,Won,2020-09-24T17:28:41.290Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-09-24T17:25:54.116Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-09-24T17:29:15.309Z,500.00
17062,AuxRole17062001,AuxRole17062001:41000708,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:34762496,New Business,Open,2020-09-24T17:11:18.995Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-10-02T14:15:07.447Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-09-24T20:09:14.435Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-09-24T20:09:42.727Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-09-24T19:57:33.337Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-09-24T19:56:10.586Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-09-29T14:06:34.811Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-09-24T20:08:44.582Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-10-13T17:47:22.165Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-11-18T21:52:39.913Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-10-16T14:31:00.118Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-10-02T14:34:05.808Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Open,2020-10-02T14:34:05.808Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-10-05T14:12:41.750Z,0.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-10-06T14:16:29.563Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2021-01-07T18:47:59.986Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-11-12T17:57:11.191Z,500.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Won,2020-10-06T20:45:36.073Z,7000.00
17062,AuxRole17062000,AuxRole17062000:33661489,New Business,Open,2020-10-09T01:34:41.726Z,0.00
17062,AuxRole17062001,AuxRole17062001:39821835,Existing Business,Won,2020-10-15T18:35:28.281Z,500.00
17062,AuxRole17062001,AuxRole17062001:39821835,New Business,Won,2020-10-16T19:57:23.518Z,500.00
