ci_tenant_dmn.m_orgnztn_guid,ci_tenant_dmn.m_org_nm,ci_tenant_dmn.m_org_ci_tenant_id,ci_tenant_dmn.m_org_original_id,ci_tenant_dmn.dw_insert_datetime,ci_tenant_dmn.is_active,ci_tenant_dmn.tenant_type
b189cd37-c178-46d1-aee7-bf834ef297fa,Knowland Group LLC (2nd Org),100007,0010Z00001x4BTEQA2,2021-03-03 22:41:42.0,N,Self
e375031c-e5b9-4b08-8171-ba68c95a1070,Not provided,100032,0010Z000025cWP6QAM,2021-03-03 22:41:42.0,Y,Intelligence
d01c7617-7108-4416-a11c-bed92a604307,NaviTrust,100010,0010Z00001xsrJwQAI,2021-03-03 22:41:42.0,Y,Self
08fb24b5-6dcd-4f40-a9f7-9390ee6d3d2d,Index,100021,0010Z000023H6vcQAC,2021-03-03 22:41:42.0,Y,Intelligence
ebfb1dfd-b0c1-4b31-8f26-987619e88387,Bombora,17017,0010Z00001uJigCQAS,2021-03-03 22:41:42.0,N,Enterprise
ed91aab6-c1db-4c0d-96a9-3504af9b1a0a,Onesource Virtual,17067,0013100001mXVlOAAW,2021-03-03 22:41:42.0,Y,Enterprise
0a67ed87-bbfa-458e-9b8f-e9bade00caf5,"Zer0frixion, llc.",100013,9010Z000020KQzTQAW,2021-03-03 22:41:42.0,Y,Self
bdcf472f-365f-40a1-a7b1-d9d8a4ee024c,Walter & Haverfield,100050,0010Z000026v3a8QAA,2021-03-03 22:41:42.0,Y,Intelligence
8fc59be6-8aa2-4b0c-bf44-0be9fa9bd1b3,EZLynx,17047,0010Z00002C2socQAB,2021-03-03 22:41:42.0,Y,Enterprise
fe7f28ec-c746-458d-ba9c-0772e32eef09,Hirenami,17009,0010Z00001vxroiQAA,2021-03-03 22:41:42.0,N,Enterprise
590c83cd-e546-4f7b-80ea-3cd23c31bfac,Not provided,100089,0010Z00002CGnfTQAT,2021-03-03 22:41:42.0,Y,Intelligence
c3430a47-8138-42dd-94e0-13f9a6c55f47,Bowery Capital,17034,0010Z00002779nSQAQ,2021-03-03 22:41:42.0,N,Enterprise
c3452bff-aa17-46f8-b69a-47765e324f62,CloudFlare Inc.,16007,001i000001EuBZgAAN,2021-03-03 22:41:42.0,N,Enterprise
0e7c1a9d-9c36-46ae-ad2b-dce32fd96de6,AccuWeather,100072,0010Z000029Zu8NQAS,2021-03-03 22:41:42.0,Y,Intelligence
b0ce8c9f-74d0-418a-9212-e66952401312,Collibra,17022,0010Z0000249IlqQAE,2021-03-03 22:41:42.0,Y,Enterprise
e573e14e-9a81-4aa6-b0f4-78d07dab89a9,Not provided,100121,0013r00002MwrhKAAR,2021-03-03 22:41:42.0,Y,Intelligence
ff5b6a21-54ef-46e9-918a-e415201c585c,Monster Worldwide,100090,0010Z00002CIkiSQAT,2021-03-03 22:41:42.0,Y,Intelligence
f4080efb-0bb8-4ed7-a2c7-35fb6eb1579d,Language Line Services,16010,001i000000WZqgTAAT,2021-03-03 22:41:42.0,N,Enterprise
4e7e5eb4-05a2-4f13-a8c7-30037c6bc608,Not provided,100106,0013r00002EsYhCAAV,2021-03-03 22:41:42.0,Y,Intelligence
5f14587d-7d84-4daa-8a44-504fc5a7fc8c,CareerBuilder,100104,0010Z000025f9eyQAA,2021-03-03 22:41:42.0,Y,Self
e7b12190-c188-4231-b77b-8f37066c7680,Rocketrip,17038,0010Z000029aYYAQA2,2021-03-03 22:41:42.0,Y,Enterprise
e9d32b4b-c587-4586-93b8-6c940d416266,Greenhouse Software,17035,0010Z000029FKRMQA4,2021-03-03 22:41:42.0,N,Enterprise
f5acb92d-0d1b-4bcb-95f2-21ad30d7ac78,GE Power,17037,0010Z000029Y9rzQAC,2021-03-03 22:41:42.0,N,Enterprise
1a49c6fb-9c82-4d74-9b15-75cd6534c0f8,,100014,NULL,2021-03-03 22:41:42.0,Y,Self
e605902f-351f-4553-86d8-eed1175c7d5b,AXA Equitable Life Insurance Company,17005,0013100001jEOxzAAG,2021-03-03 22:41:42.0,Y,Enterprise
e654fdd5-19fe-42b5-8f12-e453cbb87a40,LiquidHub Inc,16003,0013100001je5hNAAQ,2021-03-03 22:41:42.0,N,Enterprise
c22f4cdf-2f59-4a53-a0db-89625924ba26,Unknown Company Name,100093,0010Z00002CwCuMQAV,2021-03-03 22:41:42.0,Y,Intelligence
71197fe9-a8b4-4894-9f9d-86cd6f2bacc0,Ingram Micro Inc.,17016,0013100001orufEAAQ,2021-03-03 22:41:42.0,N,Enterprise
a342c880-3370-41f5-8b08-4aea10af03ae,DemandJump,17007,0010Z00001vzMA5QAM,2021-03-03 22:41:42.0,Y,Enterprise
48047258-96e9-4e1f-ad8f-7042f05274d4,Centrilogic Inc,17052,0010Z00002CvVQEQA3,2021-03-03 22:41:42.0,N,Enterprise
135c28b4-f34c-4943-8676-69f08cc0537f,R.R. Donnelley & Sons Company,100129,0010Z000026w6JNQAY,2021-03-03 22:41:42.0,N,Self
1fa16dc7-c307-425e-ac15-23c1d4aeefe9,Collective Intelligence,100035,0010Z000024AXmyQAG,2021-03-03 22:41:42.0,Y,Intelligence
28983e0b-c8e3-4ab4-be7d-5691391b6063,Impact Radius,17049,0010Z00002CFdYXQA1,2021-03-03 22:41:42.0,N,Enterprise
a089b479-affc-4e4f-b08c-37e9c008f000,JumpCrew,17048,0010Z00002C3NlvQAF,2021-03-03 22:41:42.0,Y,Enterprise
2523a65a-6970-4869-816e-b0177d451802,LeadGenius,100088,0010Z00002CGmSsQAL,2021-03-03 22:41:42.0,Y,Intelligence
85908cbf-1c32-482b-8104-1c81a56780c4,Anvyl,100130,0013r00002TlxiUAAR,2021-03-03 22:41:42.0,Y,Intelligence
2849393a-c66b-43a8-89ca-3284f9647759,Knotel,17036,0010Z000029XpMcQAK,2021-03-03 22:41:42.0,N,Enterprise
81a9f944-49b3-4de6-aa59-28c61d10d277,Cleanshelf,100052,0010Z000027A8Z3QAK,2021-03-03 22:41:42.0,N,Self
ffba1141-ec1a-49e4-a464-9fbe315bab6d,x.ai,17021,0010Z00001xqWeqQAE,2021-03-03 22:41:42.0,N,Enterprise
df372668-53fc-4850-8031-88cd11c642bd,"Penton Media , Inc.",17010,0013100001s2CS9AAM,2021-03-03 22:41:42.0,N,Enterprise
ee967a93-f54e-49d5-b59f-f089b96c7f63,Not provided,100058,0010Z000029DgrVQAS,2021-03-03 22:41:42.0,Y,Intelligence
fe7e875a-44b2-479a-90ee-f6a5eb8474fd,Botkeeper,100066,0010Z000029By0JQAS,2021-03-03 22:41:42.0,Y,Intelligence
beb11534-8aa1-42d8-9436-8d7da29aa3f8,BALYO,100095,0010Z00002DYvDBQA1,2021-03-03 22:41:42.0,Y,Intelligence
90be42e7-ae65-49ca-8f8a-d48984c3ae22,Not provided,100054,0010Z000027AAbKQAW,2021-03-03 22:41:42.0,Y,Intelligence
5068d365-7f9a-4017-97ba-9ed11a62ef19,Adopt A Highway Maintenance Corporation,17025,0010Z00001uKhEEQA0,2021-03-03 22:41:42.0,Y,Enterprise
cda63cfe-3f25-4465-acb8-844cde2992ab,iFly VC,100049,0010Z000026tsjhQAA,2021-03-03 22:41:42.0,Y,Intelligence
c3dba518-71db-4741-88a6-02ec07756aaa,Collective Intelligence,100123,0013r00002MxDKUAA3,2021-03-03 22:41:42.0,Y,Intelligence
7d7f712c-8f0c-4317-a805-270b4b5296d1,Collective Intelligence,100062,0010Z000029ELNeQAO,2021-03-03 22:41:42.0,Y,Intelligence
5532f3ff-e6a4-40f8-a0f4-e1abcb3c39af,Collective Intelligence,100119,0013r00002KhATwAAN,2021-03-03 22:41:42.0,Y,Intelligence
e9626feb-17a4-41c8-a6ed-23c6bc09cee1,VeloGeeks,100036,0010Z000024WDLcQAO,2021-03-03 22:41:42.0,Y,Intelligence
ee84adf9-7c1c-4c96-ba1d-8e2b648040ff,Not provided,100075,0010Z000029Zw9HQAS,2021-03-03 22:41:42.0,Y,Intelligence
5d08de56-8007-4f0a-8d15-4fcebc594c2a,Saleshood,17003,0013100001qrgxrAAA,2021-03-03 22:41:42.0,N,Enterprise
c1575328-bc55-4e29-921c-1fadefe7a3d8,American General Life Insurance Company,17008,0013100001s2BdFAAU,2021-03-03 22:41:42.0,N,Enterprise
0d96c102-d940-4d7a-83a0-f4244d29700e,PMC,17030,0010Z000029GKFSQA4,2021-03-03 22:41:42.0,N,Enterprise
1900da5c-9e6a-4eef-b054-ab398993f56d,Genesys,15003,001i000000qQkLAAA0,2021-03-03 22:41:42.0,N,Enterprise
00e1d066-7e74-4c8d-a99f-2029e84fc317,MarketSource,100067,0013r00002IfODTAA3,2021-03-03 22:41:42.0,N,Self
3855721d-dbdf-4ce7-b0a5-f99bfb024b83,UI Labs,100097,0013r00002Es5bFAAR,2021-03-03 22:41:42.0,N,Intelligence
39b872ad-f162-4153-800c-fa78bc55cc64,Flex Ltd.,17011,0013100001lZOBMAA4,2021-03-03 22:41:42.0,N,Enterprise
8211aa8f-5bbd-4fea-bbbd-e830ada7cb76,Sansan,100037,0010Z000024xjRQQAY,2021-03-03 22:41:42.0,Y,Intelligence
