ci_tenant_dmn.m_orgnztn_guid,ci_tenant_dmn.m_org_nm,ci_tenant_dmn.m_org_ci_tenant_id,ci_tenant_dmn.m_org_original_id,ci_tenant_dmn.dw_insert_datetime,ci_tenant_dmn.is_active,ci_tenant_dmn.tenant_type
d403b142-9125-48f6-8b16-2538d715ea3a,Fashion Snoops,17023,0010Z0000257t04QAA,2021-03-03 22:41:42.0,N,Enterprise
780edcde-82af-4364-b477-e3102da363a5,Not provided,100105,0013r00002EsIfKAAV,2021-03-03 22:41:42.0,Y,Intelligence
edd79c12-4d57-4002-99ba-2d14fbfd4902,,100068,NULL,2021-03-03 22:41:42.0,Y,Self
221fee71-14a5-4b8b-bdd7-14d866587baa,Tealium Inc,14004,001i000001JfERGAA3,2021-03-03 22:41:42.0,N,Enterprise
322a4065-0392-4ee7-864c-ea5b04a8de7d,Talla,17043,0010Z00002ADSiQQAX,2021-03-03 22:41:42.0,N,Enterprise
39387366-aadc-43f5-947f-fccb3c80dc87,AccuReg Software,17058,0013r00002EpelIAAR,2021-03-03 22:41:42.0,N,Enterprise
0a1a657a-fb0d-4c48-8c94-0bbaf226431d,Not provided,100133,0013r00002WADmNAAX,2021-03-03 22:41:42.0,Y,Intelligence
f39f5998-855c-4dcf-9f0b-3cc8c9b15600,Not provided,100096,0013r00002Es4ywAAB,2021-03-03 22:41:42.0,Y,Intelligence
1aedfa60-0d39-488a-8335-315c202c749b,Collective[i].com,100044,0010Z000025en9uQAA,2021-03-03 22:41:42.0,Y,Intelligence
04a22569-2218-4469-b564-7e415c99915d,Trusty.Care,17045,0010Z00002ADmSKQA1,2021-03-03 22:41:42.0,Y,Enterprise
ba4bf981-fb89-463b-930c-08fe2e5f984b,Collective Intelligence,100020,0010Z000023HX2HQAW,2021-03-03 22:41:42.0,Y,Intelligence
82839d78-1300-4aed-94dd-989bbf738a1b,kNEXTis LLC,100127,0013r00002MyZpxAAF,2021-03-03 22:41:42.0,Y,Intelligence
95ec1c19-1b20-4801-b277-bd783b74c0d4,Ware2Go,17063,0013r00002KexIVAAZ,2021-03-03 22:41:42.0,Y,Enterprise
4e470d83-ef32-429e-84c2-10233163bd70,SellerCloud,100048,0010Z0000253exaQAA,2021-03-03 22:41:42.0,Y,Intelligence
a0124488-c428-4ab3-bdef-9f0266c11154,Sansan,100039,0010Z0000257WDQQA2,2021-03-03 22:41:42.0,Y,Intelligence
d1b20967-7eec-4555-a74b-8b4b64f3f0e2,Collective Intelligence,100120,0013r00002KhERnAAN,2021-03-03 22:41:42.0,Y,Intelligence
eeb7d053-6cca-4378-8a52-0b7148c4ec78,Hamfish Ltd,100076,0010Z000029avlKQAQ,2021-03-03 22:41:42.0,Y,Intelligence
4210789b-2c15-4f8e-b0b6-407aed517753,Foundermade,17053,0010Z00002CwJJyQAN,2021-03-03 22:41:42.0,N,Enterprise
52c7368b-5dc2-4121-92f4-f36411a6bb00,Collective Intelligence,100022,0010Z000023HWxNQAW,2021-03-03 22:41:42.0,Y,Intelligence
d253fc17-4afb-4a5a-ae68-9eeee512c25a,TechObservers,100087,0010Z00002CGYVwQAP,2021-03-03 22:41:42.0,Y,Intelligence
d2d0ce76-e811-4f43-8455-cb4e6fc4ca8f,Allego,17050,0010Z00002CFiBgQAL,2021-03-03 22:41:42.0,N,Enterprise
0918c89b-c10c-4096-b753-519b4c74b336,Not provided,100064,0010Z000029FABYQA4,2021-03-03 22:41:42.0,Y,Intelligence
d8b46505-84db-4f94-9499-4ac589bd2a8b,Not provided,100110,0013r00002IbvwCAAR,2021-03-03 22:41:42.0,Y,Intelligence
c2b5033b-ae76-4dbf-88af-16b6d8ae9180,"Volta Industries, Inc.",17002,0010Z00001wRMhCQAW,2021-03-03 22:41:42.0,Y,Enterprise
3b573888-56cf-4fe1-ab6b-98d23aca59d4,,100003,NULL,2021-03-03 22:41:42.0,Y,Self
a83b00db-4507-4338-a325-acc700471664,Pivotal,100029,0010Z000022zipSQAQ,2021-03-03 22:41:42.0,Y,Intelligence
8680c040-965b-4b0d-bcf3-1d3b4aff4d58,AllianceBernstein,17059,0013r00002ErdmDAAR,2021-03-03 22:41:42.0,N,Enterprise
be9531e8-ff2b-4ce2-96d1-d526d952c404,,100023,NULL,2021-03-03 22:41:42.0,Y,Self
898ff460-f647-4f81-9301-ec9b6b83ab0a,Hitachi Data Systems Corporation,100091,0010Z00002CIkLmQAL,2021-03-03 22:41:42.0,Y,Self
48a56036-8d43-4596-a4c8-1188eb963f4c,Anvyl,17065,0013r00002Mxo7VAAR,2021-03-03 22:41:42.0,Y,Enterprise
5b580438-3c81-4b0f-a108-296b61a198c9,,13001,NULL,2021-03-03 22:41:42.0,Y,Enterprise
96dbce82-bc65-4dc8-9349-3e2e64244dd7,Berry Network,100112,0013r00002KgSjAAAV,2021-03-03 22:41:42.0,Y,Intelligence
