revenue_date,revenue,dw_cid,pred_date
2020-08-01,1975.6729106718708,17047,2020-08-14
2020-08-02,1975.6729106718708,17047,2020-08-14
2020-08-03,1975.6729106718708,17047,2020-08-14
2020-08-04,1975.6729106718708,17047,2020-08-14
2020-08-05,1975.6729106718708,17047,2020-08-14
2020-08-06,1975.6729106718708,17047,2020-08-14
2020-08-07,1975.6729106718708,17047,2020-08-14
2020-08-08,1975.6729106718708,17047,2020-08-14
2020-08-09,1975.6729106718708,17047,2020-08-14
2020-08-10,1975.6729106718708,17047,2020-08-14
2020-08-11,1975.6729106718708,17047,2020-08-14
2020-08-12,1975.6729106718708,17047,2020-08-14
2020-08-13,1975.6729106718708,17047,2020-08-14
2020-08-14,2241.84038748142,17047,2020-08-14
2020-08-15,2034.1689338239205,17047,2020-08-14
2020-08-16,2013.4937882967395,17047,2020-08-14
2020-08-17,1870.1276612694674,17047,2020-08-14
2020-08-18,1968.877599487112,17047,2020-08-14
2020-08-19,2062.360901121922,17047,2020-08-14
2020-08-20,2089.235419565434,17047,2020-08-14
2020-08-21,2108.984833644872,17047,2020-08-14
2020-08-22,2139.272022463236,17047,2020-08-14
2020-08-23,2030.1565849907995,17047,2020-08-14
2020-08-24,1943.8023554819567,17047,2020-08-14
2020-08-25,1985.0527181206016,17047,2020-08-14
2020-08-26,2062.400075806665,17047,2020-08-14
2020-08-27,2101.328954987297,17047,2020-08-14
2020-08-28,2052.860732288247,17047,2020-08-14
2020-08-29,2073.068878907387,17047,2020-08-14
2020-08-30,2016.1052209110828,17047,2020-08-14
2020-08-31,1931.2813198330289,17047,2020-08-14
2020-09-01,1753.5180394816482,17047,2020-08-14
2020-09-02,1806.259689473269,17047,2020-08-14
2020-09-03,1891.6493217836378,17047,2020-08-14
2020-09-04,1988.7389036120906,17047,2020-08-14
2020-09-05,1998.1453883924812,17047,2020-08-14
2020-09-06,2001.1724607179112,17047,2020-08-14
2020-09-07,1915.6421953869722,17047,2020-08-14
2020-09-08,1856.3952673968754,17047,2020-08-14
2020-09-09,1899.5560050633414,17047,2020-08-14
2020-09-10,1954.1326112833624,17047,2020-08-14
2020-09-11,1988.4101589338486,17047,2020-08-14
2020-09-12,2011.990806525627,17047,2020-08-14
2020-09-13,2025.0769223636462,17047,2020-08-14
2020-09-14,2223.7409660226444,17047,2020-08-14
2020-09-15,2223.7409660226444,17047,2020-08-14
2020-09-16,2223.7409660226444,17047,2020-08-14
2020-09-17,2223.7409660226444,17047,2020-08-14
2020-09-18,2071.2252142983366,17047,2020-08-14
2020-09-19,2071.2252142983366,17047,2020-08-14
2020-09-20,2071.2252142983366,17047,2020-08-14
2020-09-21,2071.2252142983366,17047,2020-08-14
2020-09-22,2071.2252142983366,17047,2020-08-14
2020-09-23,2071.2252142983366,17047,2020-08-14
2020-09-24,2071.2252142983366,17047,2020-08-14
2020-09-25,2071.2252142983366,17047,2020-08-14
2020-09-26,2071.2252142983366,17047,2020-08-14
2020-09-27,2071.2252142983366,17047,2020-08-14
2020-09-28,2071.2252142983366,17047,2020-08-14
2020-09-29,2071.2252142983366,17047,2020-08-14
2020-09-30,2071.2252142983366,17047,2020-08-14
2020-10-01,1944.2084590423196,17047,2020-08-14
2020-10-02,1944.2084590423196,17047,2020-08-14
2020-10-03,1944.2084590423196,17047,2020-08-14
2020-10-04,1944.2084590423196,17047,2020-08-14
2020-10-05,1944.2084590423196,17047,2020-08-14
