revenue_date,revenue,dw_cid,pred_date
2020-08-01,23453.203619538603,17048,2020-08-14
2020-08-02,23453.203619538603,17048,2020-08-14
2020-08-03,23453.203619538603,17048,2020-08-14
2020-08-04,23453.203619538603,17048,2020-08-14
2020-08-05,23453.203619538603,17048,2020-08-14
2020-08-06,23453.203619538603,17048,2020-08-14
2020-08-07,23453.203619538603,17048,2020-08-14
2020-08-08,23453.203619538603,17048,2020-08-14
2020-08-09,23453.203619538603,17048,2020-08-14
2020-08-10,23453.203619538603,17048,2020-08-14
2020-08-11,23453.203619538603,17048,2020-08-14
2020-08-12,23453.203619538603,17048,2020-08-14
2020-08-13,23453.203619538603,17048,2020-08-14
2020-08-14,35960.12108577387,17048,2020-08-14
2020-08-15,35355.05723089948,17048,2020-08-14
2020-08-16,35519.261549657116,17048,2020-08-14
2020-08-17,34871.93277776276,17048,2020-08-14
2020-08-18,34632.82321514378,17048,2020-08-14
2020-08-19,34947.39391492846,17048,2020-08-14
2020-08-20,35205.586114189224,17048,2020-08-14
2020-08-21,33189.27168204219,17048,2020-08-14
2020-08-22,33334.61903641584,17048,2020-08-14
2020-08-23,33415.171168785186,17048,2020-08-14
2020-08-24,33150.26334348207,17048,2020-08-14
2020-08-25,33025.2827256859,17048,2020-08-14
2020-08-26,33041.46763078339,17048,2020-08-14
2020-08-27,33006.19558755704,17048,2020-08-14
2020-08-28,37652.26268899597,17048,2020-08-14
2020-08-29,37835.91269654823,17048,2020-08-14
2020-08-30,37860.87177575909,17048,2020-08-14
2020-08-31,37769.62291137402,17048,2020-08-14
2020-09-01,44829.5811323225,17048,2020-08-14
2020-09-02,44789.33602662213,17048,2020-08-14
2020-09-03,45008.1536966137,17048,2020-08-14
2020-09-04,43185.218853378814,17048,2020-08-14
2020-09-05,42851.00294186726,17048,2020-08-14
2020-09-06,42263.54643535856,17048,2020-08-14
2020-09-07,42163.6898742613,17048,2020-08-14
2020-09-08,42248.42930785756,17048,2020-08-14
2020-09-09,42379.515585279376,17048,2020-08-14
2020-09-10,42468.466638003156,17048,2020-08-14
2020-09-11,41220.55859589341,17048,2020-08-14
2020-09-12,41284.75275372204,17048,2020-08-14
2020-09-13,41190.84519235615,17048,2020-08-14
2020-09-14,37868.93631366461,17048,2020-08-14
2020-09-15,37868.93631366461,17048,2020-08-14
2020-09-16,37868.93631366461,17048,2020-08-14
2020-09-17,37868.93631366461,17048,2020-08-14
2020-09-18,31254.91629499368,17048,2020-08-14
2020-09-19,31254.91629499368,17048,2020-08-14
2020-09-20,31254.91629499368,17048,2020-08-14
2020-09-21,31254.91629499368,17048,2020-08-14
2020-09-22,31254.91629499368,17048,2020-08-14
2020-09-23,31254.91629499368,17048,2020-08-14
2020-09-24,31254.91629499368,17048,2020-08-14
2020-09-25,31254.91629499368,17048,2020-08-14
2020-09-26,31254.91629499368,17048,2020-08-14
2020-09-27,31254.91629499368,17048,2020-08-14
2020-09-28,31254.91629499368,17048,2020-08-14
2020-09-29,31254.91629499368,17048,2020-08-14
2020-09-30,31254.91629499368,17048,2020-08-14
2020-10-01,57606.341205905344,17048,2020-08-14
2020-10-02,57606.341205905344,17048,2020-08-14
2020-10-03,57606.341205905344,17048,2020-08-14
2020-10-04,57606.341205905344,17048,2020-08-14
2020-10-05,57606.341205905344,17048,2020-08-14
2020-10-06,57606.341205905344,17048,2020-08-14
2020-10-07,57606.341205905344,17048,2020-08-14
2020-10-08,57606.341205905344,17048,2020-08-14
2020-10-09,57606.341205905344,17048,2020-08-14
2020-10-10,57606.341205905344,17048,2020-08-14
2020-10-11,57606.341205905344,17048,2020-08-14
2020-10-12,57606.341205905344,17048,2020-08-14
2020-10-13,57606.341205905344,17048,2020-08-14
2020-10-14,57606.341205905344,17048,2020-08-14
2020-10-15,57606.341205905344,17048,2020-08-14
2020-10-16,57606.341205905344,17048,2020-08-14
2020-10-17,57606.341205905344,17048,2020-08-14
2020-10-18,57606.341205905344,17048,2020-08-14
2020-10-19,57606.341205905344,17048,2020-08-14
2020-10-20,57606.341205905344,17048,2020-08-14
2020-10-21,57606.341205905344,17048,2020-08-14
2020-10-22,57606.341205905344,17048,2020-08-14
2020-10-23,57606.341205905344,17048,2020-08-14
2020-10-24,57606.341205905344,17048,2020-08-14
2020-10-25,57606.341205905344,17048,2020-08-14
2020-10-26,57606.341205905344,17048,2020-08-14
2020-10-27,57606.341205905344,17048,2020-08-14
2020-10-28,57606.341205905344,17048,2020-08-14
2020-10-29,57606.341205905344,17048,2020-08-14
2020-10-30,57606.341205905344,17048,2020-08-14
2020-10-31,57606.341205905344,17048,2020-08-14
2020-11-01,47214.19898798194,17048,2020-08-14
2020-11-02,47214.19898798194,17048,2020-08-14
2020-11-03,47214.19898798194,17048,2020-08-14
2020-11-04,47214.19898798194,17048,2020-08-14
2020-11-05,47214.19898798194,17048,2020-08-14
2020-11-06,47214.19898798194,17048,2020-08-14
2020-11-07,47214.19898798194,17048,2020-08-14
2020-11-08,47214.19898798194,17048,2020-08-14
2020-11-09,47214.19898798194,17048,2020-08-14
2020-11-10,47214.19898798194,17048,2020-08-14
2020-11-11,47214.19898798194,17048,2020-08-14
2020-11-12,47214.19898798194,17048,2020-08-14
2020-11-13,47214.19898798194,17048,2020-08-14
2020-11-14,47214.19898798194,17048,2020-08-14
2020-11-15,47214.19898798194,17048,2020-08-14
2020-11-16,47214.19898798194,17048,2020-08-14
2020-11-17,47214.19898798194,17048,2020-08-14
2020-11-18,47214.19898798194,17048,2020-08-14
2020-11-19,47214.19898798194,17048,2020-08-14
2020-11-20,47214.19898798194,17048,2020-08-14
2020-11-21,47214.19898798194,17048,2020-08-14
2020-11-22,47214.19898798194,17048,2020-08-14
2020-11-23,47214.19898798194,17048,2020-08-14
2020-11-24,47214.19898798194,17048,2020-08-14
2020-11-25,47214.19898798194,17048,2020-08-14
2020-11-26,47214.19898798194,17048,2020-08-14
2020-11-27,47214.19898798194,17048,2020-08-14
2020-11-28,47214.19898798194,17048,2020-08-14
2020-11-29,47214.19898798194,17048,2020-08-14
2020-11-30,47214.19898798194,17048,2020-08-14
2020-12-01,28695.60446251979,17048,2020-08-14
2020-12-02,28695.60446251979,17048,2020-08-14
2020-12-03,28695.60446251979,17048,2020-08-14
2020-12-04,28695.60446251979,17048,2020-08-14
2020-12-05,28695.60446251979,17048,2020-08-14
2020-12-06,28695.60446251979,17048,2020-08-14
2020-12-07,28695.60446251979,17048,2020-08-14
2020-12-08,28695.60446251979,17048,2020-08-14
2020-12-09,28695.60446251979,17048,2020-08-14
2020-12-10,28695.60446251979,17048,2020-08-14
2020-12-11,28695.60446251979,17048,2020-08-14
2020-12-12,28695.60446251979,17048,2020-08-14
2020-12-13,28695.60446251979,17048,2020-08-14
2020-12-14,28695.60446251979,17048,2020-08-14
2020-12-15,28695.60446251979,17048,2020-08-14
2020-12-16,28695.60446251979,17048,2020-08-14
2020-12-17,28695.60446251979,17048,2020-08-14
2020-12-18,28695.60446251979,17048,2020-08-14
2020-12-19,28695.60446251979,17048,2020-08-14
2020-12-20,28695.60446251979,17048,2020-08-14
2020-12-21,28695.60446251979,17048,2020-08-14
2020-12-22,28695.60446251979,17048,2020-08-14
2020-12-23,28695.60446251979,17048,2020-08-14
2020-12-24,28695.60446251979,17048,2020-08-14
2020-12-25,28695.60446251979,17048,2020-08-14
2020-12-26,28695.60446251979,17048,2020-08-14
2020-12-27,28695.60446251979,17048,2020-08-14
2020-12-28,28695.60446251979,17048,2020-08-14
2020-12-29,28695.60446251979,17048,2020-08-14
2020-12-30,28695.60446251979,17048,2020-08-14
2020-12-31,28695.60446251979,17048,2020-08-14
2021-01-01,31866.622769811696,17048,2020-08-14
2021-01-02,31866.622769811696,17048,2020-08-14
2021-01-03,31866.622769811696,17048,2020-08-14
2021-01-04,31866.622769811696,17048,2020-08-14
2021-01-05,31866.622769811696,17048,2020-08-14
2021-01-06,31866.622769811696,17048,2020-08-14
2021-01-07,31866.622769811696,17048,2020-08-14
2021-01-08,31866.622769811696,17048,2020-08-14
2021-01-09,31866.622769811696,17048,2020-08-14
2021-01-10,31866.622769811696,17048,2020-08-14
2021-01-11,31866.622769811696,17048,2020-08-14
2021-01-12,31866.622769811696,17048,2020-08-14
2021-01-13,31866.622769811696,17048,2020-08-14
2021-01-14,31866.622769811696,17048,2020-08-14
2021-01-15,31866.622769811696,17048,2020-08-14
2021-01-16,31866.622769811696,17048,2020-08-14
2021-01-17,31866.622769811696,17048,2020-08-14
2021-01-18,31866.622769811696,17048,2020-08-14
2021-01-19,31866.622769811696,17048,2020-08-14
2021-01-20,31866.622769811696,17048,2020-08-14
2021-01-21,31866.622769811696,17048,2020-08-14
2021-01-22,31866.622769811696,17048,2020-08-14
2021-01-23,31866.622769811696,17048,2020-08-14
2021-01-24,31866.622769811696,17048,2020-08-14
2021-01-25,31866.622769811696,17048,2020-08-14
2021-01-26,31866.622769811696,17048,2020-08-14
2021-01-27,31866.622769811696,17048,2020-08-14
2021-01-28,31866.622769811696,17048,2020-08-14
2021-01-29,31866.622769811696,17048,2020-08-14
2021-01-30,31866.622769811696,17048,2020-08-14
2021-01-31,31866.622769811696,17048,2020-08-14
2021-02-01,27074.149666668854,17048,2020-08-14
2021-02-02,27074.149666668854,17048,2020-08-14
2021-02-03,27074.149666668854,17048,2020-08-14
2021-02-04,27074.149666668854,17048,2020-08-14
