revenue_date,revenue,dw_cid,pred_date
2020-02-02,3072.272842414122,17047,2020-02-14
2020-02-03,3072.272842414122,17047,2020-02-14
2020-02-04,3072.272842414122,17047,2020-02-14
2020-02-05,3072.272842414122,17047,2020-02-14
2020-02-06,3072.272842414122,17047,2020-02-14
2020-02-07,3072.272842414122,17047,2020-02-14
2020-02-08,3072.272842414122,17047,2020-02-14
2020-02-09,3072.272842414122,17047,2020-02-14
2020-02-10,3072.272842414122,17047,2020-02-14
2020-02-11,3072.272842414122,17047,2020-02-14
2020-02-12,3072.272842414122,17047,2020-02-14
2020-02-13,3072.272842414122,17047,2020-02-14
2020-02-14,2831.3225085212157,17047,2020-02-14
2020-02-15,2075.791075915964,17047,2020-02-14
2020-02-16,2020.7847032382713,17047,2020-02-14
2020-02-17,2433.539741200093,17047,2020-02-14
2020-02-18,2716.8158099759276,17047,2020-02-14
2020-02-19,2589.8584986124156,17047,2020-02-14
2020-02-20,2616.32490309025,17047,2020-02-14
2020-02-21,2495.063248460369,17047,2020-02-14
2020-02-22,2187.297622696238,17047,2020-02-14
2020-02-23,2265.122317648639,17047,2020-02-14
2020-02-24,2448.3354671867705,17047,2020-02-14
2020-02-25,2522.7166090412043,17047,2020-02-14
2020-02-26,2545.25485250642,17047,2020-02-14
2020-02-27,2618.839540302914,17047,2020-02-14
2020-02-28,2455.6814657107684,17047,2020-02-14
2020-02-29,2262.2144125966006,17047,2020-02-14
2020-03-01,1753.6847773385932,17047,2020-02-14
2020-03-02,1864.5799250066357,17047,2020-02-14
2020-03-03,1985.0994128302239,17047,2020-02-14
2020-03-04,2029.0186067761088,17047,2020-02-14
2020-03-05,2053.0502773447206,17047,2020-02-14
2020-03-06,2120.2674982426374,17047,2020-02-14
2020-03-07,1982.4750820540874,17047,2020-02-14
2020-03-08,1916.4560602104566,17047,2020-02-14
2020-03-09,1986.8898494933098,17047,2020-02-14
2020-03-10,2064.050451633697,17047,2020-02-14
2020-03-11,2086.009040355502,17047,2020-02-14
2020-03-12,2116.7761291806423,17047,2020-02-14
2020-03-13,2142.900489539775,17047,2020-02-14
2020-03-14,2064.63662662275,17047,2020-02-14
2020-03-15,1999.6478121378038,17047,2020-02-14
2020-03-16,2378.364370106955,17047,2020-02-14
2020-03-17,2378.364370106955,17047,2020-02-14
2020-03-18,2378.364370106955,17047,2020-02-14
2020-03-19,2378.364370106955,17047,2020-02-14
2020-03-20,2188.008619041094,17047,2020-02-14
2020-03-21,2188.008619041094,17047,2020-02-14
2020-03-22,2188.008619041094,17047,2020-02-14
2020-03-23,2188.008619041094,17047,2020-02-14
2020-03-24,2188.008619041094,17047,2020-02-14
2020-03-25,2188.008619041094,17047,2020-02-14
2020-03-26,2188.008619041094,17047,2020-02-14
2020-03-27,2188.008619041094,17047,2020-02-14
2020-03-28,2188.008619041094,17047,2020-02-14
2020-03-29,2188.008619041094,17047,2020-02-14
2020-03-30,2188.008619041094,17047,2020-02-14
2020-03-31,2188.008619041094,17047,2020-02-14
2020-04-01,2427.065286920521,17047,2020-02-14
2020-04-02,2427.065286920521,17047,2020-02-14
2020-04-03,2427.065286920521,17047,2020-02-14
2020-04-04,2427.065286920521,17047,2020-02-14
2020-04-05,2427.065286920521,17047,2020-02-14
2020-04-06,2427.065286920521,17047,2020-02-14
2020-04-07,2427.065286920521,17047,2020-02-14
2020-04-08,2427.065286920521,17047,2020-02-14
2020-04-09,2427.065286920521,17047,2020-02-14
2020-04-10,2427.065286920521,17047,2020-02-14
2020-04-11,2427.065286920521,17047,2020-02-14
2020-04-12,2427.065286920521,17047,2020-02-14
2020-04-13,2427.065286920521,17047,2020-02-14
2020-04-14,2427.065286920521,17047,2020-02-14
2020-04-15,2427.065286920521,17047,2020-02-14
2020-04-16,2427.065286920521,17047,2020-02-14
2020-04-17,2427.065286920521,17047,2020-02-14
2020-04-18,2427.065286920521,17047,2020-02-14
2020-04-19,2427.065286920521,17047,2020-02-14
2020-04-20,2427.065286920521,17047,2020-02-14
2020-04-21,2427.065286920521,17047,2020-02-14
2020-04-22,2427.065286920521,17047,2020-02-14
2020-04-23,2427.065286920521,17047,2020-02-14
2020-04-24,2427.065286920521,17047,2020-02-14
